|     cntr_01|         dist_x|         pang_x|          ra_01|         dec_01|      designation|        ra|       dec|r_k20fe|j_m_k20fe|j_msig_k20fe|j_flg_k20fe|h_m_k20fe|h_msig_k20fe|h_flg_k20fe|k_m_k20fe|k_msig_k20fe|k_flg_k20fe|   k_ba|k_phi|sup_ba|sup_phi|  r_ext|j_m_ext|j_msig_ext|h_m_ext|h_msig_ext|k_m_ext|k_msig_ext|cc_flg|
|         int|         double|         double|         double|         double|             char|    double|    double| double|   double|      double|        int|   double|      double|        int|   double|      double|        int| double|  int|double|    int| double| double|    double| double|    double| double|    double|  char|
|            |         arcsec|            deg|         degree|         degree|                 |       deg|       deg| arcsec|      mag|         mag|           |      mag|         mag|           |      mag|         mag|           |       |  deg|      |    deg| arcsec|    mag|       mag|    mag|       mag|    mag|       mag|      |
|        null|           null|           null|           null|           null|             null|      null|      null|   null|     null|        null|       null|     null|        null|       null|     null|        null|       null|   null| null|  null|   null|   null|   null|      null|   null|      null|   null|      null|  null|
           98        0.327482      -77.157189      203.358750      -34.014722  13332607-3400529 203.358643 -34.014702    13.1    12.928        0.041           3    12.163        0.043           3    11.418        0.054           3     0.7   -80  0.500     -85   32.30  12.517      0.051  11.867      0.057  11.272      0.063      0 
           99        4.597418       42.040573      301.740417      -34.549444  20065794-3432545 301.741455 -34.548496    20.1    11.806        0.032           3    11.046        0.040           3    10.665        0.049           3     0.7    75  0.640      50   35.24  11.630      0.036  10.925      0.041  10.506      0.044      0 
          100        0.423504      114.315754       44.089583      -32.185556  02562153-3211081  44.089710 -32.185604    21.8    11.401        0.023           0    10.682        0.033           0    10.435        0.044           0     0.8    15  0.840      50   41.49  11.189      0.026  10.510      0.034  10.237      0.043      0 
          101        0.224586       76.399381       95.943333      -32.216667  06234641-3212599  95.943405 -32.216652    31.7    11.470        0.033           3    10.779        0.042           3    10.441        0.062           1     0.5   -40  0.700     -45   59.03  11.360      0.042  10.567      0.045  10.166      0.064      0 
          102        0.350335      121.605667      171.847500      -29.257500  11272342-2915271 171.847595 -29.257551    38.7    11.263        0.023           0    10.495        0.026           0    10.177        0.040           0     0.3   -80  0.420     -80   56.80  11.200      0.027  10.430      0.025  10.076      0.038      0 
          103        0.289307     -123.863926      315.599167      -28.174722  21022378-2810291 315.599091 -28.174767    21.2    12.579        0.031           0    11.898        0.044           0    11.527        0.064           0     0.4    35  0.380      35   36.89  12.278      0.033  11.753      0.047  11.334      0.058      0 
          104        0.621976      105.479017       41.198750      -24.513889  02444774-2430501  41.198933 -24.513935    17.7    11.883        0.025           0    11.182        0.038           0    10.908        0.055           0     0.7   -15  0.660     -25   29.39  11.723      0.026  11.029      0.036  10.795      0.047      0 
          105        0.427473     -153.449632      100.048750      -25.895278  06401168-2553433 100.048691 -25.895384    24.5    11.256        0.024           3    10.481        0.032           3     9.972        0.035           0     0.7    30  0.600      20   38.26  11.091      0.025  10.343      0.029   9.868      0.032      0 
          106        0.414365     -105.913973      151.480833      -23.056944  10055537-2303251 151.480713 -23.056976    17.1    11.655        0.021           0    10.933        0.027           0    10.535        0.044           0     0.8    90  0.800     -80   28.45  11.553      0.023  10.833      0.028  10.451      0.040      0 
          107        0.466070     -165.289023      189.727500      -27.307778  12385459-2718284 189.727463 -27.307903    34.1    11.222        0.019           0    10.432        0.020           0    10.039        0.030           0     0.3    70  0.440      75   50.90  11.142      0.023  10.360      0.021   9.954      0.034      0 
          108        1.051686      -67.927214      202.807917      -25.402778  13311382-2524096 202.807617 -25.402668    13.0    11.901        0.018           3    11.163        0.019           3    10.797        0.036           3     0.8    15  0.480      40   34.70  11.477      0.025  10.814      0.026  10.760      0.050      0 
          109        0.734305       46.397784      203.665000      -23.446667  13343963-2326474 203.665161 -23.446526    21.6    12.010        0.029           0    11.246        0.033           0    10.962        0.056           0     0.6   -85  0.420      85   40.06  11.730      0.034  10.992      0.038  10.773      0.051      0 
          110        0.544981       68.606687      214.843333      -26.644722  14192243-2638408 214.843491 -26.644667    29.2    11.005        0.023           3    10.296        0.028           3     9.893        0.041           1     0.9   -30  0.900     -85   47.25  10.786      0.022  10.105      0.025   9.739      0.039      0 
          111        0.366959      101.063150      338.707500      -25.676944  22344982-2540370 338.707611 -25.676964    27.9    11.481        0.022           0    10.787        0.034           0    10.508        0.043           0     0.6    -5  0.740      15   47.48  11.295      0.023  10.615      0.032  10.302      0.039      0 
          112        1.006068      161.058228       55.515417      -21.244167  03420372-2114399  55.515514 -21.244431    66.8     9.469        0.011           2     8.970        0.015           2     8.706        0.023           2     0.4   -45  0.420     -45   93.43   9.354      0.010   8.868      0.018   8.612      0.030      0 
          113        0.549244     -131.955678       60.607083      -18.047500  04022567-1802513  60.606964 -18.047602    18.0    11.462        0.021           0    10.698        0.027           0    10.298        0.038           0     0.8    25  0.760      20   29.84  11.416      0.023  10.661      0.027  10.233      0.035      0 
          114        0.429116       91.014296       77.990833      -18.493889  05115783-1829380  77.990959 -18.493891    14.3    12.432        0.042           0    11.793        0.054           0    11.385        0.076           0     0.9   -70  0.900     -80   25.02  12.177      0.043  11.589      0.054  11.254      0.071      0 
          115        0.669514      -41.786460       81.613750      -21.286667  05262726-2117115  81.613617 -21.286528    14.8    12.286        0.036           0    11.566        0.047           0    11.346        0.075           0     0.8    60  0.840      75   25.67  12.063      0.037  11.342      0.045  11.203      0.068      0 
          116        0.454202     -120.071603      143.681667      -21.927778  09344357-2155402 143.681549 -21.927841    26.5    10.614        0.014           0     9.902        0.019           0     9.562        0.023           0     0.7    -5  0.600     -10   40.75  10.549      0.016   9.859      0.019   9.515      0.022      0 
          117        0.191896       -8.848605      209.152917      -19.529167  13563669-1931448 209.152908 -19.529114    22.2    12.601        0.029           0    11.770        0.040           0    11.343        0.058           0     0.2    30  0.260      30   35.09  12.483      0.036  11.624      0.055  11.274      0.054      0 
          118        0.657045     -170.482208      129.628333      -35.992500  08383079-3559336 129.628296 -35.992680    18.1    11.873        0.033           0    11.031        0.033           0    10.533        0.044           0     0.6    15  0.740      30   29.94  11.759      0.035  10.930      0.032  10.449      0.039      0 
          119        0.388049      179.099688      125.754583       -4.934722  08230110-0456053 125.754585  -4.934830    13.9    12.437        0.032           0    11.694        0.041           0    11.334        0.060           0     0.5    35  0.500      25   24.67  12.258      0.034  11.492      0.040  11.267      0.056      0 
          120        0.651017      -30.384650      279.242917      -59.402500  18365825-5924084 279.242737 -59.402344    14.3    11.599        0.017           3    10.590        0.019           3     9.677        0.015           3     0.8   -20  0.880     -60   25.04  11.536      0.019  10.544      0.018   9.644      0.015      0 
          121        0.258694      166.182589      281.225000      -62.364722  18445400-6221532 281.225037 -62.364792    27.8    11.370        0.020           0    10.500        0.024           0     9.809        0.021           0     0.4     5  0.440       5   45.88  11.195      0.022  10.409      0.023   9.712      0.020      0 
          122        0.640908      -72.231551       20.940833      -58.805833  01234572-5848208  20.940506 -58.805779    17.4    11.990        0.027           0    11.168        0.031           0    10.530        0.039           0     0.7   -85  0.960     -45   31.07  11.852      0.030  11.043      0.031  10.422      0.036      0 
          123            null            null       41.240417       62.468611              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
          124        0.734377     -152.600827      120.087500       26.613611  08002097+2636483 120.087395  26.613430    19.9    11.640        0.015           0    10.942        0.021           0    10.583        0.031           0     0.6   -65  0.980      65   32.35  11.514      0.020  10.826      0.021  10.496      0.028      0 
          125        0.326094      135.556482       18.529167      -32.650833  01140701-3239032  18.529242 -32.650898    46.6    10.546        0.014           0     9.830        0.019           0     9.524        0.027           0     0.3    -5  0.260     -10   67.67  10.425      0.015   9.756      0.018   9.484      0.027      0 
          126        0.260176      159.198132       37.962500      -36.671944  02315100-3640192  37.962532 -36.672012    27.7    11.040        0.020           0    10.339        0.023           0    10.060        0.033           0     0.8   -60  0.940     -20   43.62  10.883      0.020  10.192      0.021   9.907      0.030      0 
          127        1.277929      163.802677      139.991667       37.191389  09195802+3711277 139.991791  37.191048    40.5    11.363        0.016           0    10.528        0.021           0    10.108        0.021           0     0.2   -40  0.260     -40   61.32  11.271      0.020  10.466      0.026  10.052      0.020      0 
          128        0.441526      136.448907      168.457083        9.586389  11134972+0935106 168.457169   9.586300    18.1    11.702        0.029           0    10.976        0.034           0    10.613        0.054           0     0.9   -15  0.860     -20   33.39  11.531      0.032  10.806      0.034  10.453      0.050      0 
          129        0.429003      -23.708713      173.205417       10.296389  11324928+1017473 173.205368  10.296498     9.8    12.996        0.032           0    12.244        0.033           0    11.670        0.050           0     0.6   -65  0.480     -50   19.40  12.801      0.036  12.059      0.036  11.620      0.052      0 
          130        0.340282      -59.874916      207.330417      -30.309444  13491927-3018338 207.330322 -30.309397    45.2    10.302        0.013           4     9.496        0.017           0     8.805        0.012           0     0.3    45  0.340      45   65.47  10.240      0.025   9.446      0.026   8.805      0.013      0 
          131            null            null      224.421667      -43.132222              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
          132        0.121235     -158.485121      276.080833      -56.369167  18241939-5622091 276.080811 -56.369198    30.0    11.542        0.025           3    10.821        0.035           3    10.503        0.047           3     0.3     5  0.380       5   45.20  11.436      0.028  10.746      0.033  10.426      0.042      0 
          133        0.461769       31.050335      313.009583      -57.068889  20520232-5704076 313.009705 -57.068779    40.8     9.836        0.014           0     9.124        0.016           0     8.853        0.021           0     0.9   -55  0.840     -60   59.47   9.705      0.014   9.024      0.016   8.750      0.020      0 
          134        0.422848       99.586100      174.175000      -60.051944  11364205-6003070 174.175232 -60.051964    22.7    12.196        0.095           3    11.266        0.088           3    10.871        0.097           3     0.5    60  0.460      60   36.73  11.900      0.089  11.069      0.080  10.740      0.083      0 
          135        0.427368        7.993162      352.657083       71.379444  23303771+7122464 352.657135  71.379562    13.7    12.896        0.046           0    12.000        0.052           0    11.586        0.068           0     0.7   -45  0.920     -65   22.88  12.763      0.053  11.836      0.054  11.578      0.071      0 
          136        0.464135      171.994255      198.274167      -11.128333  13130580-1107424 198.274185 -11.128461     5.5    13.710        0.034           0    13.036        0.039           0    12.383        0.054           0     0.9    90  0.800     -70   16.40  13.374      0.042  12.881      0.062  12.306      0.077      0 
          137            null            null      306.732917       -2.277500              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
          138        3.711807     -118.951556       51.305000       40.698611  03251291+4041532  51.303810  40.698112     6.6    14.178        0.051           0    13.307        0.044           0    12.840        0.059           0     0.8    55  0.600      -5   12.63  13.777      0.055  12.839      0.045  12.585      0.067      0 
          139            null            null       63.719583       -7.927778              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
          140            null            null       77.689583       16.498889              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
          141            null            null       81.027083      -12.166667              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
          142            null            null       90.544583       28.472778              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
          143        0.750831      110.291664      344.887083       24.918333  22593295+2455057 344.887299  24.918261     6.8    13.575        0.037           0    12.721        0.041           0    12.058        0.040           0     0.9   -75  0.720     -65   20.51  13.355      0.055  12.598      0.066  12.012      0.060      0 
          144        0.427019     -176.017417      176.124583       36.885833  11442989+3653085 176.124573  36.885715    13.8    12.937        0.036           0    12.232        0.051           0    11.801        0.060           0     0.8    40  0.900       0   26.74  12.808      0.046  12.116      0.063  11.595      0.061      0 
          145        0.495382      -42.846391      182.684583       38.336111  12104427+3820103 182.684464  38.336212    14.6    12.295        0.026           0    11.541        0.036           0    11.055        0.043           0     0.7    10  0.820      -5   25.48  12.156      0.035  11.450      0.038  10.932      0.038      0 
          146        0.370082      178.852890       56.302083      -39.574722  03451250-3934293  56.302086 -39.574825    11.4    12.517        0.025           0    11.604        0.026           0    10.912        0.033           0     1.0     0  0.940      35   22.67  12.357      0.029  11.467      0.028  10.849      0.032      0 
          147        0.286468      164.179296      351.350833      -38.446944  23252420-3826492 351.350861 -38.447021    11.4    12.264        0.023           0    11.586        0.029           0    11.212        0.043           0     0.8    65  0.780      45   21.25  12.198      0.027  11.543      0.032  11.131      0.040      0 
          148            null            null       32.392917       52.442500              null       null       null    null      null         null        null      null         null        null      null         null        null    null  null   null    null    null    null       null    null       null    null       null   null 
          149        0.235757      171.567074      189.776250      -16.179722  12390630-1610472 189.776260 -16.179787    16.5    12.225        0.038           3    11.555        0.047           3    11.083        0.071           3     0.9   -80  0.880      55   33.30  11.994      0.045  11.248      0.054  10.861      0.068      0 
          150        0.770009       87.052083      252.677917        4.605000  16504275+0436180 252.678131   4.605011    11.9    12.647        0.031           0    11.887        0.038           0    11.489        0.050           0     0.8   -80  0.780     -50   21.77  12.441      0.033  11.735      0.040  11.398      0.049      0 
          151        0.725703      110.149678      180.698333      -53.835556  12024767-5350082 180.698654 -53.835625    18.8    11.745        0.033           1    10.812        0.038           3    10.065        0.031           1     0.8   -30  0.780     -25   41.09  11.475      0.041  10.672      0.045   9.953      0.037      0 
          152        1.362419      116.673612      184.739583       47.303889  12185761+4718133 184.740082  47.303719   263.9     6.512        0.016           3     5.841        0.016           3     5.598        0.016           3     0.5   -20  0.495     -25  459.60   6.375      0.018   5.716      0.021   5.464      0.022      Z 
          153        0.441611        8.106756       28.204167       -3.446944  01524900-0326485  28.204184  -3.446823    66.7    10.763        0.015           0     9.879        0.017           0     9.470        0.022           0     0.2   -20  0.160     -20   94.61  10.663      0.017   9.788      0.016   9.392      0.041      0 
          154        0.825073      120.794037       52.845833       -5.141667  03312304-0508304  52.846031  -5.141784    23.5    11.593        0.021           0    10.896        0.028           0    10.654        0.050           0     0.7    75  0.760     -85   37.74  11.449      0.028  10.754      0.030  10.486      0.043      0 
          155        0.555912      173.197918       72.922917       -3.809167  04514150-0348335  72.922935  -3.809320    22.5    11.276        0.018           0    10.555        0.023           0    10.159        0.036           0     0.8    35  0.900      45   35.74  11.138      0.018  10.425      0.021  10.054      0.032      0 
          156        0.738528      123.386554      140.192500       -8.056111  09204624-0803224 140.192673  -8.056224    12.6    12.668        0.032           0    11.868        0.037           0    11.618        0.067           0     1.0   -35  0.780      30   37.80  12.083      0.046  11.410      0.053  11.227      0.094      0 
          157        1.389697      -48.809863      178.159167       -5.207222  11523813-0512250 178.158875  -5.206968    24.2    11.772        0.025           0    11.054        0.037           0    10.732        0.047           0     0.4    20  0.460      20   39.67  11.706      0.028  10.918      0.035  10.590      0.042      0 
          158        0.519462      -35.822095      195.079583       -8.087500  13001907-0805145 195.079498  -8.087383    27.0    12.217        0.033           0    11.404        0.041           0    11.121        0.068           0     0.3    -5  0.220     -10   42.43  12.030      0.036  11.235      0.039  11.013      0.059      0 
          159        0.248465       81.202338      233.336250       -8.700556  15332071-0842019 233.336319  -8.700545    43.7    11.380        0.029           0    10.711        0.037           0    10.357        0.055           0     0.3    70  0.340      75   63.32  11.238      0.032  10.546      0.037  10.222      0.047      0 
          160        0.899067      -44.177589       10.786667      -11.601111  00430875-1136033  10.786489 -11.600932    12.4    13.060        0.026           0    12.300        0.031           0    12.040        0.058           0     0.5   -75  0.460     -75   22.36  12.963      0.032  12.107      0.034  11.977      0.064      0 
          161        0.752617     -154.200765       43.097500       -8.510278  02522337-0830376  43.097408  -8.510466    26.4    11.792        0.021           0    10.995        0.025           0    10.663        0.043           0     0.4   -85  0.220     -85   43.40  11.574      0.024  10.794      0.025  10.539      0.045      0 
          162        0.530810        3.180953       45.017917      -10.824722  03000430-1049284  45.017925 -10.824575    21.3    12.327        0.039           0    11.610        0.052           0    11.276        0.079           0     0.5    50  0.560      35   46.92  12.002      0.048  11.305      0.060  10.956      0.080      0 
          163        0.457982     -158.877722       69.559167      -10.795833  04381418-1047454  69.559120 -10.795952    16.8    12.308        0.025           0    11.590        0.034           0    11.202        0.052           0     0.5    20  0.460      30   28.28  12.141      0.027  11.369      0.035  11.155      0.048      0 
          164        0.912918     -168.068712       79.088333      -10.561389  05162118-1033418  79.088280 -10.561637    24.7    12.012        0.029           1    11.196        0.034           1    10.585        0.046           1     0.5   -85  0.560     -80   47.78  11.742      0.032  10.953      0.035  10.409      0.045      0 
          165        0.785310      134.866631       22.027917      -18.808611  01280673-1848315  22.028080 -18.808765     9.6    13.223        0.037           0    12.551        0.051           0    12.041        0.061           0     0.8    45  0.620      45   19.71  12.850      0.038  12.322      0.059  11.991      0.072      0 
          166        0.236996     -112.950214      200.602083      -16.728333  13222448-1643420 200.602020 -16.728359    25.3    10.902        0.017           0    10.177        0.021           0     9.850        0.028           0     0.7    85  0.860      70   39.46  10.797      0.020  10.060      0.020   9.749      0.027      0 
          167        0.990036     -156.862784      146.917500      -30.948611  09474016-3056559 146.917374 -30.948864    27.4    10.613        0.017           1     9.855        0.020           3     9.401        0.022           3     0.6    50  0.600      50   42.28  10.532      0.016   9.775      0.019   9.349      0.021      0 
          168        1.259850       79.868692      203.973750      -34.295556  13355380-3417437 203.974167 -34.295494    22.7    10.899        0.012           0    10.128        0.013           0     9.618        0.017           0     0.5   -65  0.540     -65   35.81  10.869      0.013  10.088      0.016   9.582      0.017      0 
          169        0.399062      116.170546       16.361667      -42.216111  01052683-4212581  16.361801 -42.216160    19.2    11.974        0.019           0    11.260        0.026           0    10.956        0.041           0     0.4   -75  0.460     -75   31.56  11.907      0.024  11.210      0.026  10.901      0.037      0 
          170        0.718656      -84.250060       49.259167        1.255000  03170215+0115180  49.258968   1.255020    16.1    12.271        0.028           0    11.431        0.031           0    10.921        0.044           0     0.4     0  0.340       5   27.13  12.115      0.038  11.281      0.031  10.885      0.041      0 
          171        1.429085      114.542647      340.070833        8.053889  22401708+0803134 340.071198   8.053724    18.6    12.007        0.025           3    11.289        0.034           3    10.841        0.043           3     0.6   -85  0.800     -80   40.98  11.766      0.032  11.094      0.040  10.612      0.045      0 
          172        0.659370      -57.529999      121.193333       10.776667  08044636+1046363 121.193176  10.776765    19.6    11.733        0.022           0    10.975        0.033           0    10.661        0.036           0     0.7    25  0.400      25   40.91  11.535      0.028  10.615      0.032  10.507      0.043      0 
          173        0.490702      138.654223      335.937500       11.835833  22234502+1150086 335.937592  11.835731    14.4    12.733        0.033           0    11.962        0.050           0    11.572        0.055           0     0.6   -35  0.520     -25   25.17  12.575      0.039  11.687      0.051  11.471      0.053      0 
          174        0.567020      169.111586      140.929167       22.909167  09234300+2254324 140.929199  22.909012    20.3    12.033        0.024           3    11.252        0.036           3    10.691        0.034           3     0.6    -5  0.620      -5   34.35  11.838      0.025  11.126      0.036  10.592      0.033      0 
          175        0.554957      -71.203425      307.146250       25.733333  20283506+2544001 307.146088  25.733383    29.3    11.312        0.021           3    10.390        0.021           3     9.926        0.028           3     0.4    70  0.440      70   44.60  11.225      0.030  10.331      0.026   9.869      0.034      0 
          176        0.630979     -168.726472       12.895833       29.401389  00513499+2924043  12.895794  29.401217    17.1    12.121        0.025           0    11.429        0.033           0    11.045        0.046           0     0.6   -45  0.540     -60   29.51  11.814      0.030  11.139      0.031  10.923      0.040      0 
          177        0.970457       53.090927      177.191250       29.641111  11484595+2938285 177.191498  29.641273    18.8    12.084        0.018           0    11.228        0.022           0    10.753        0.026           0     0.4    10  0.480      10   30.93  12.006      0.020  11.155      0.021  10.697      0.023      0 
          178        0.659262      -26.188167      108.516250       35.279167  07140387+3516455 108.516151  35.279331    18.5    11.458        0.018           0    10.686        0.027           4    10.185        0.021           0     0.7    75  0.700      75   30.39  11.360      0.022  10.585      0.026  10.111      0.020      0 
          179        0.532507       -1.126639      161.204167       38.181111  10444899+3810525 161.204163  38.181259    28.3    11.967        0.021           0    11.214        0.031           0    10.806        0.036           0     0.2   -85  0.280     -85   44.53  11.912      0.028  11.171      0.034  10.736      0.035      0 
          180        0.229331     -159.502637      336.774167       36.361667  22270579+3621417 336.774139  36.361607    27.6    11.293        0.021           0    10.553        0.028           0    10.254        0.029           0     0.5    80  0.660      85   56.86  11.080      0.031  10.438      0.033   9.982      0.033      0 
          181        0.266531     -155.630567       88.723333       46.439444  05545358+4626217  88.723289  46.439377    54.8    10.632        0.019           1     9.797        0.020           1     9.253        0.022           1     0.4     0  0.480       0   78.22  10.493      0.019   9.668      0.019   9.139      0.021      0 
          182        0.947460      150.520559      133.802083       64.396111  08551257+6423451 133.802383  64.395882    16.6    12.780        0.031           0    11.998        0.047           0    11.434        0.049           0     0.4    45  0.400      50   28.22  12.718      0.039  11.804      0.048  11.373      0.047      0 
          183        0.429310       -7.546437      161.035417       70.405278  10440848+7024194 161.035370  70.405396    27.0    11.978        0.028           0    11.159        0.042           0    10.805        0.042           0     0.4    15  0.360      20   41.63  11.854      0.036  11.021      0.041  10.696      0.037      0 
          184        0.576273     -100.477477      116.871250       60.933611  07472902+6056008 116.870926  60.933582    33.6    11.521        0.025           0    10.852        0.037           0    10.512        0.045           0     0.4   -55  0.440     -50   52.05  11.357      0.025  10.742      0.035  10.345      0.038      0 
          185        0.242226      159.712594       31.566667       -0.291389  02061600-0017292  31.566690  -0.291452    20.8    11.749        0.021           0    11.061        0.028           0    10.659        0.042           0     0.6   -10  0.620       0   40.26  11.597      0.033  10.935      0.031  10.471      0.041      0 
          186        0.893643     -100.183689      121.024583        5.113889  08040584+0506498 121.024338   5.113845    15.2    11.733        0.026           3    11.082        0.033           1    10.706        0.050           3     0.9   -35  0.880      75   26.16  11.534      0.025  10.914      0.031  10.630      0.046      0 
          187        0.780193      -95.944331      180.310000       -3.678056  12011434-0340410 180.309784  -3.678078     9.9    12.883        0.028           0    12.185        0.034           0    11.752        0.057           0     0.9   -30  0.800     -30   20.19  12.709      0.033  11.961      0.037  11.669      0.062      0 
          188        0.782444      -10.395372      226.485833        3.707222  15055659+0342267 226.485794   3.707436    18.0    12.195        0.025           0    11.477        0.027           0    11.090        0.057           0     0.5    20  0.460      50   35.93  11.930      0.029  11.200      0.028  11.028      0.058      0 
          189        0.307690      -39.098161      135.493333       60.151667  09015837+6009062 135.493225  60.151733    18.0    11.681        0.020           0    10.951        0.030           0    10.463        0.031           0     0.6   -85  0.460      90   31.55  11.497      0.021  10.823      0.029  10.384      0.029      0 
          190        0.291781      -16.605520      182.308750       47.058333  12091409+4703302 182.308716  47.058411    15.0    12.245        0.026           0    11.595        0.040           0    11.202        0.041           0     0.9   -40  0.740      15   34.86  11.949      0.033  11.358      0.050  10.965      0.045      0 
          191        0.070459       69.731977      184.479167       58.659722  12175500+5839350 184.479202  58.659729    10.4    13.261        0.047           0    12.636        0.061           0    12.109        0.077           0     0.9    90  0.880       5   31.23  13.050      0.089  12.173      0.089  11.613      0.096      0 
          192        1.095050     -162.022496      208.264167       69.308333  13530333+6918289 208.263901  69.308044    17.5    11.639        0.017           0    10.843        0.021           0    10.161        0.020           0     0.7    35  0.680      40   34.78  11.429      0.024  10.687      0.021  10.079      0.021      0 
          193        0.516782       10.816756      233.968333       57.902500  15355241+5754095 233.968384  57.902641     9.3    13.161        0.031           3    12.510        0.041           3    11.829        0.047           3     0.7   -85  0.780      70   18.44  13.041      0.038  12.459      0.053  11.754      0.049      0 
          194        0.807760       72.625951       93.901250       71.037500  06153645+7102152  93.901909  71.037567    37.0    10.117        0.014           0     9.376        0.017           0     9.054        0.020           0     0.7    20  0.820      20   54.54  10.026      0.014   9.290      0.018   8.970      0.019      0 
          195        1.288622       63.051325        1.581250       20.202778  00061958+2012105   1.581590  20.202940    15.1    12.048        0.025           0    11.054        0.024           0    10.063        0.020           0     1.0   -30  1.000     -30   29.60  12.033      0.040  11.046      0.039  10.059      0.030      Z 
          196        0.218050      107.724663       12.196250       31.956944  00484711+3157249  12.196318  31.956926    25.0    11.530        0.029           0    10.809        0.041           0    10.337        0.046           0     0.8    40  0.900     -20   48.88  11.240      0.033  10.554      0.044  10.097      0.047      0 
          197        0.203024       32.506640       14.972083       31.826944  00595330+3149371  14.972119  31.826992    13.2    12.631        0.032           0    11.932        0.050           0    11.505        0.051           0     0.8    80  0.920      80   23.70  12.492      0.037  11.747      0.052  11.372      0.048      0 
          198        0.730584     -110.445408       21.885833       19.178889  01273255+1910437  21.885632  19.178818    16.6    11.688        0.019           0    10.925        0.028           0    10.538        0.028           0     0.8   -50  0.860      30   28.24  11.610      0.024  10.873      0.031  10.461      0.026      0 
          199        0.397961      -20.476625      162.378750       22.964444  10493088+2257523 162.378708  22.964548    11.3    12.950        0.030           0    12.254        0.043           0    11.809        0.052           0     0.9    10  0.760      10   24.92  12.741      0.039  11.898      0.046  11.609      0.057      0 
          200        0.690856     -142.594211      220.158750       53.504444  14403805+5330154 220.158554  53.504292     8.4    13.238        0.037           0    12.614        0.047           0    12.111        0.061           0     0.9   -35  0.900     -70   20.13  12.948      0.044  12.337      0.056  12.032      0.079      0 
          201        0.124784      111.434788      185.850417        2.679167  12232410+0240449 185.850449   2.679154     9.6    13.069        0.036           0    12.390        0.039           0    12.097        0.072           0     0.7   -20  0.860     -25   28.79  12.843      0.057  12.090      0.055  11.996      0.113      0 
          202        0.935295       61.464351      311.040417      -10.723611  20440975-1043245 311.040649 -10.723487    13.5    11.640        0.020           0    10.841        0.026           0    10.037        0.021           0     0.8    40  0.820      80   24.03  11.584      0.022  10.766      0.025  10.005      0.020      0 
          203        0.424108     -131.676354       33.640000       -0.766667  02143357-0046002  33.639912  -0.766745    27.3    10.925        0.016           0    10.176        0.021           0     9.666        0.025           0     0.9    35  0.940     -55   44.19  10.761      0.020  10.042      0.022   9.540      0.024      0 
          204        0.463344      -88.317914       40.395417        7.187222  02413486+0711140  40.395287   7.187226    13.0    12.216        0.020           0    11.460        0.025           0    11.062        0.039           0     0.7   -65  0.680     -85   23.47  12.055      0.021  11.290      0.024  10.985      0.035      0 
          205        0.341935       46.351034      103.051250       74.426944  06521236+7425372 103.051506  74.427010    24.6    11.155        0.019           0    10.325        0.021           0     9.650        0.018           0     0.7   -50  0.700     -50   40.53  11.075      0.024  10.220      0.020   9.560      0.017      0 
          206        1.680569      113.867817       69.092500      -10.376111  04362230-1022346  69.092934 -10.376300    18.1    11.999        0.021           0    11.169        0.023           0    10.467        0.022           0     0.6    -2  0.580      -2   35.90  11.823      0.028  11.049      0.032  10.372      0.032      Z 
          207        0.646630      170.202967      189.965417       34.975000  12395170+3458293 189.965454  34.974823    15.3    12.622        0.037           0    11.928        0.046           0    11.491        0.065           0     0.8   -60  0.800     -50   31.58  12.349      0.044  11.863      0.061  11.265      0.065      0 
          208        0.735127      -24.225099      139.608333       16.305278  09182597+1618196 139.608246  16.305464    16.0    12.057        0.022           0    11.184        0.029           0    10.413        0.026           0     0.7    65  0.620      70   31.32  11.875      0.032  11.080      0.030  10.351      0.025      0 
          209        0.252613      161.234160      165.257500       11.046944  11010180+1102487 165.257523  11.046878     9.5    13.273        0.046           0    12.476        0.053           0    11.953        0.069           0     0.8   -60  0.680     -25   18.15  13.168      0.059  12.332      0.062  11.873      0.074      0 
          210        1.123888     -119.580047      174.122500       21.596111  11362932+2135454 174.122208  21.595957    20.4    11.818        0.022           3    11.051        0.030           3    10.545        0.035           3     0.6    90  0.800     -85   41.00  11.751      0.030  11.002      0.037  10.386      0.035      0 
          211        0.252871      -53.053692      184.610417       29.812778  12182648+2948461 184.610352  29.812820    25.6    11.198        0.019           0    10.468        0.028           0     9.930        0.025           0     0.6   -70  0.840      75   39.57  11.101      0.021  10.379      0.027   9.839      0.022      0 
          212        0.742465       87.559961      115.636667       49.809722  07423287+4948350 115.636986  49.809731    30.9    11.336        0.022           0    10.539        0.030           0     9.900        0.024           0     0.5    60  0.600      65   48.18  11.189      0.025  10.397      0.027   9.797      0.023      0 
